"","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-04-01 to 2018-04-06","2 Y 2016-05-02 to 2018-05-06","2 Y 2016-06-01 to 2018-06-06","2 Y 2016-07-04 to 2018-07-06","2 Y 2016-08-02 to 2018-08-06","2 Y 2016-09-01 to 2018-09-06","2 Y 2016-10-03 to 2018-10-06","2 Y 2016-11-01 to 2018-11-06","2 Y 2016-12-01 to 2018-12-06","2 Y 2017-01-03 to 2019-01-06","2 Y 2017-02-01 to 2019-02-06","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-04-03 to 2019-04-06","2 Y 2017-05-01 to 2019-05-06","2 Y 2017-06-01 to 2019-06-06","2 Y 2017-07-04 to 2019-07-06","2 Y 2017-08-01 to 2019-08-06","2 Y 2017-09-01 to 2019-09-06","2 Y 2017-10-02 to 2019-10-06","2 Y 2017-11-01 to 2019-11-06","2 Y 2017-12-01 to 2019-12-06","2 Y 2018-01-02 to 2020-01-06","2 Y 2018-02-01 to 2020-02-06","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-04-02 to 2020-04-06","2 Y 2018-05-01 to 2020-05-06","2 Y 2018-06-01 to 2020-06-06","2 Y 2018-07-03 to 2020-07-06","2 Y 2018-08-01 to 2020-08-06","2 Y 2018-09-04 to 2020-09-06","2 Y 2018-10-01 to 2020-10-06","2 Y 2018-11-01 to 2020-11-06","2 Y 2018-12-03 to 2020-12-06","2 Y 2019-01-02 to 2021-01-06","2 Y 2019-02-01 to 2021-02-06","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-04-01 to 2021-04-06","2 Y 2019-05-01 to 2021-05-06","2 Y 2019-06-03 to 2021-06-06","2 Y 2019-07-02 to 2021-07-06","2 Y 2019-08-01 to 2021-08-06","2 Y 2019-09-03 to 2021-09-06","2 Y 2019-10-01 to 2021-10-06","2 Y 2019-11-01 to 2021-11-06","2 Y 2019-12-02 to 2021-12-06","2 Y 2020-01-02 to 2022-01-06","2 Y 2020-02-03 to 2022-02-06","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-04-01 to 2022-04-06","2 Y 2020-05-01 to 2022-05-06","2 Y 2020-06-01 to 2022-06-06","2 Y 2020-07-02 to 2022-07-06","2 Y 2020-08-04 to 2022-08-06","2 Y 2020-09-01 to 2022-09-06"
"P Alpha Stat",0.73,0.41,0.29,0.65,0.33,0.58,0.44,0.36,0.32,0.37,0.26,0.19,0.26,0.11,0.23,0.29,0.28,0.32,0.42,0.19,0.14,0.29,0.43,0.48,0.29,0.19,0.4,-0.08,0.19,0.23,-0.27,-0.34,-0.07,0.11,0.2,0.2,0.09,0.33,0.08,-0.01,-0.1,-0.27,-0.18,-0.24,-0.3,-0.11,-0.16,0.11,0.29,-0.05,0.02,0.27,0.18,0.24,0.06
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.45,0.75,0.76,0.6,0.71,0.5,0.56,0.63,0.72,0.59,0.69,0.74,0.72,0.78,0.8,0.68,0.65,0.73,0.72,0.76,0.69,0.7,0.63,0.7,0.75,0.87,0.97,0.96,0.95,0.98,0.98,0.99,1.03,0.98,1,0.86,0.92,0.9,1,0.95,0.91,0.99,1.04,1.04,1.03,1.01,1.11,1.01,0.99,1.01,1.09,1.02,0.83,1.06,0.93
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",20.89,56.64,63.27,36.44,50.45,23.89,34.99,43.38,69.85,50.1,67.49,81.14,82.15,89.77,92.11,83.96,80.47,88.81,89.25,91.01,88.97,82.86,80.79,83.13,85.65,87.81,90.39,94.55,90.5,91.83,94.33,94.25,94.72,92.24,89.9,86.63,77.93,75.92,88.57,92.31,89.63,90.84,91.69,89.81,91.08,90.53,92.47,89.33,81.7,74.8,80.82,79.97,68.49,82.36,68.17
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-6.253,-7.7132,-7.4782,-6.3489,-7.0448,-6.1314,-7.0214,-7.1803,-9.2203,-9.5496,-12.5637,-13.6781,-12.517,-11.3078,-10.0243,-9.1859,-10.861,-11.3618,-10.5262,-12.9776,-11.1126,-12.2863,-9.6761,-10.5272,-10.2311,-30.6139,-30.6259,-31.9636,-30.4426,-31.8206,-34.5148,-34.8274,-33.2328,-31.5492,-31.4186,-28.3591,-30.0395,-29.5004,-31.4277,-30.903,-29.8747,-30.8714,-31.8067,-31.5622,-32.7578,-32.1994,-33.6875,-31.8377,-27.9896,-6.4998,-7.6232,-10.5362,-13.3667,-14.7407,-12.6876
"B Max Drawdown",-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",2.3898,0.9296,1.1646,2.2939,1.598,2.5114,1.6214,1.4625,1.6426,1.3133,0.880899999999999,-0.233500000000001,0.9276,2.1368,3.4203,4.2587,2.5836,2.0828,2.9184,0.466999999999999,2.332,1.1583,3.7685,2.9174,3.2135,5.1126,5.1006,3.7629,5.2839,3.9059,1.2117,0.899100000000004,2.4937,4.1773,4.3079,7.3674,5.687,6.2261,4.2988,4.8235,5.8518,4.8551,3.9198,4.1643,2.9687,3.5271,2.039,3.8888,3.363,1.268,0.144600000000001,-0.268099999999999,1.428,2.0432,4.0963
