"","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"P Information Ratio",0.92,0.24,0.41,0.77,1.26,0.09,-0.12,0.41,-0.76,0.14,0.55,1.85,0.25,0.43,0.61,-0.25,-0.34,-0.53,-0.14,-0.99,0.04,1.45,2.84,2.65,1.75,1.52,1.19,1.24,2.4,2.52,1.21,1.47,2.32,2.03,1.86,2.69,1.51,0.98,1.28,1.66
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.86,0.51,0.57,0.68,0.29,-0.31,0.08,0.43,0.2,-0.09,0.31,0.74,1.04,1.36,1.54,-0.1,-0.78,-0.47,-0.89,-1.93,0.41,1.92,1.69,2.02,1.47,0.6,0.19,-0.96,-0.8,2.27,1.84,1.79,3.44,2.2,2.97,2.88,3,2.74,2.71,2.34
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.67,0.83,0.74,0.7,0.82,1.07,0.89,0.84,0.74,0.59,0.98,0.95,1.59,1.35,1.43,1.46,1.52,1.52,1.56,1.47,1.54,1.64,2.23,1.78,1.97,2.06,2.39,2.53,2.57,0.82,0.94,0.97,0.28,0.28,0.23,0.27,0.24,0.2,1.1,1.2
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",59,83.45,76.52,77.37,80.81,91.69,76.83,57.49,26.77,18.22,77.66,63.39,68.64,69.24,67.19,74.56,82.9,70.1,79.15,86.45,84.14,52.56,59.98,43.24,43.6,53.47,72.69,71.19,73.02,-1.57,6.22,9,-8.85,-7.6,-9.3,-7.87,-9.36,-9.62,29.31,31.82
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-9.7741,-11.4023,-9.7943,-9.152,-8.5734,-10.4219,-10.2257,-8.8516,-11.6413,-9.5232,-34.5506,-34.1262,-41.6682,-36.7241,-38.6211,-45.2837,-43.0508,-47.0443,-46.973,-46.6485,-45.5076,-39.5002,-13.3819,-12.3147,-12.6812,-11.7598,-13.1731,-10.0591,-11.2768,-11.7062,-11.0998,-10.8084,-9.619,-7.1713,-9.0774,-9.3013,-12.8735,-18.9705,-23.4989,-23.8831
"B Max Drawdown",-13.4446,-13.4446,-12.9881,-12.5618,-10.6565,-7.2553,-7.2553,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",3.6705,2.0423,3.1938,3.4098,2.0831,-3.1666,-2.9704,-4.4385,-7.2282,-1.1195,1.1759,1.6003,-5.9417,-0.997599999999998,-2.8946,-9.5572,-7.3243,-11.3178,-11.2465,-10.922,-9.7811,-8.1476,-5.6141,-4.5469,-4.9134,-3.9921,-5.4053,-2.9475,-5.1857,-7.8824,-5.9216,-5.6302,-4.4408,-1.9931,-3.8992,-3.0055,-2.6054,-4.1758,-6.715,-7.0992
