"","2 Y 2015-08-28 to 2017-09-02","2 Y 2015-09-28 to 2017-10-03","2 Y 2015-10-28 to 2017-11-02","2 Y 2015-11-30 to 2017-12-03","2 Y 2015-12-29 to 2018-01-02","2 Y 2016-01-28 to 2018-02-02","2 Y 2016-02-29 to 2018-03-05","2 Y 2016-03-28 to 2018-04-02","2 Y 2016-04-28 to 2018-05-03","2 Y 2016-05-30 to 2018-06-02","2 Y 2016-06-28 to 2018-07-03","2 Y 2016-07-28 to 2018-08-02","2 Y 2016-08-29 to 2018-09-02","2 Y 2016-09-28 to 2018-10-03","2 Y 2016-10-28 to 2018-11-02","2 Y 2016-11-28 to 2018-12-03","2 Y 2016-12-28 to 2019-01-02","2 Y 2017-01-30 to 2019-02-02","2 Y 2017-02-28 to 2019-03-05","2 Y 2017-03-28 to 2019-04-02","2 Y 2017-04-28 to 2019-05-03","2 Y 2017-05-29 to 2019-06-02","2 Y 2017-06-28 to 2019-07-03","2 Y 2017-07-28 to 2019-08-02","2 Y 2017-08-28 to 2019-09-02","2 Y 2017-09-28 to 2019-10-03","2 Y 2017-10-30 to 2019-11-02","2 Y 2017-11-28 to 2019-12-03","2 Y 2017-12-28 to 2020-01-02","2 Y 2018-01-29 to 2020-02-02","2 Y 2018-02-28 to 2020-03-04","2 Y 2018-03-28 to 2020-04-02","2 Y 2018-04-30 to 2020-05-03","2 Y 2018-05-28 to 2020-06-02","2 Y 2018-06-28 to 2020-07-03","2 Y 2018-07-30 to 2020-08-02","2 Y 2018-08-28 to 2020-09-02","2 Y 2018-09-28 to 2020-10-03","2 Y 2018-10-29 to 2020-11-02","2 Y 2018-11-28 to 2020-12-03","2 Y 2018-12-28 to 2021-01-02","2 Y 2019-01-28 to 2021-02-02","2 Y 2019-02-28 to 2021-03-05","2 Y 2019-03-28 to 2021-04-02","2 Y 2019-04-29 to 2021-05-03","2 Y 2019-05-28 to 2021-06-02","2 Y 2019-06-28 to 2021-07-03","2 Y 2019-07-29 to 2021-08-02","2 Y 2019-08-28 to 2021-09-02","2 Y 2019-09-30 to 2021-10-03","2 Y 2019-10-28 to 2021-11-02","2 Y 2019-11-28 to 2021-12-03","2 Y 2019-12-30 to 2022-01-02","2 Y 2020-01-28 to 2022-02-02","2 Y 2020-02-28 to 2022-03-05","2 Y 2020-03-30 to 2022-04-02","2 Y 2020-04-28 to 2022-05-03","2 Y 2020-05-28 to 2022-06-02","2 Y 2020-06-29 to 2022-07-03","2 Y 2020-07-28 to 2022-08-02","2 Y 2020-08-28 to 2022-09-02"
"P Information Ratio",1.47,0.94,0.75,2.24,1,-0.03,1.45,1.63,2.03,1.74,-0.02,1.15,2.48,2.02,1.48,0.66,0.63,1.64,1.5,1.46,1.78,0.81,1.78,1.63,0.67,0.45,0.64,0.42,0.4,0.6,0.69,1.27,1.3,0.23,0.77,1.01,0.77,1.86,1.03,1.42,0.34,1.2,1,0.79,1.13,0.61,0.69,0.69,0.23,-0.19,-0.53,0.06,0.46,-0.1,-0.47,-0.68,-0.73,-0.99,1.37,0.79,-0.17
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.41,1.37,1.25,2.38,1.04,0.37,2.78,3.13,3.9,2,0.38,2.74,3.06,4.14,2.41,1.2,1.36,1.67,0.86,1.96,0.7,0.3,1.28,1.07,1.34,0.65,0.89,0.56,0.45,0.58,0.4,1.3,0.41,0.62,1.88,1.96,0.42,1.93,0.72,1.99,1.36,1.87,1.7,1.48,1.03,0.58,1.13,1.03,1.16,0.38,-0.38,-0.41,0.38,-0.16,-1.04,-0.64,-0.45,-1.24,2.19,0.61,-0.63
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.52,0.49,0.8,1.25,1.16,0.61,1.22,1.54,0.44,0.24,0.56,0.74,0.42,0.08,1.14,1.12,1.15,1.14,0.9,1.42,0.9,0.63,0.86,1.04,1.74,1.87,1.57,1.64,1.18,1.31,1.44,1.19,1.26,1.25,1.7,1.64,1.02,1.32,0.83,0.67,0.53,1.03,1.45,1.59,1.34,1.14,0.93,1.01,0.8,0.63,1.03,1.59,1.39,1.38,1.27,0.96,0.78,1.01,1.19,1.53,1.4
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",7.16,6.37,2.93,17.57,14.22,6.28,2.86,4.13,-3.4,-3.41,1.02,-1.95,-3.38,-4.73,11.07,19.51,15.77,23.4,66.08,45.7,67.14,51.07,58.25,66.22,46.17,49.25,53.48,57.22,53.29,59.67,65.98,80.79,88.93,58.47,80.34,79.81,91.77,80.28,77.86,36.63,12.06,36.67,59.98,77.58,85.03,76.19,39.68,35.57,29.18,28.9,78.32,83.69,75.25,83.86,43.87,35.34,22.6,38.85,34.41,71.1,77.22
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-12.9318,-11.0792,-21.0537,-13.4017,-11.504,-11.798,-21.5214,-22.6134,-20.5018,-9.3969,-14.0115,-24.2497,-19.0619,-19.1019,-21.6526,-19.1326,-28.3532,-27.6115,-13.1909,-20.7085,-14.0446,-14.5509,-14.7985,-21.9886,-26.5568,-30.1,-23.7106,-23.8436,-19.3675,-21.0992,-20.9835,-31.1402,-41.4859,-36.2903,-42.2828,-39.7998,-28.6379,-31.5044,-26.0682,-21.8869,-20.5006,-25.4959,-37.337,-40.9651,-36.3333,-30.7374,-25.7888,-26.9686,-22.4654,-23.2633,-31.4202,-44.7635,-36.1069,-35.5953,-24.3085,-14.1433,-17.3001,-19.2825,-23.6686,-27.0017,-29.654
"B Max Drawdown",-15.2268,-15.2268,-13.6512,-13.4415,-10.873,-6.3052,-8.6427,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",2.295,4.1476,-7.4025,0.0397999999999996,-0.631,-5.4928,-12.8787,-13.9706,-11.859,-0.754100000000001,-5.3687,-15.6069,-10.4191,-10.4591,-10.7897,-8.2697,-14.9086,-14.1669,0.2537,-7.2639,-0.600000000000001,-1.1063,-1.3538,-8.544,-13.1122,-16.6554,-10.2659,-10.399,-5.9229,-7.6546,-7.5389,4.5863,-5.7594,-0.563800000000001,-6.5563,-4.0733,7.0886,4.2221,9.6583,13.8396,15.2259,10.2306,-1.6105,-5.2386,-0.6068,4.9891,9.9377,8.7579,13.2611,12.4632,4.3063,-9.037,-0.380400000000002,0.1312,7.0441,-6.3755,-9.5323,-9.0144,-8.8739,-10.2178,-12.8701
