"","3 Y 2016-05-30 to 2019-06-04","3 Y 2016-06-30 to 2019-07-05","3 Y 2016-08-02 to 2019-08-04","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"P Information Ratio",0.97,0.88,1.11,0.86,0.47,0.42,1.15,1.15,1.11,1.09,0.82,1.08,0.68,1.07,1.31,0.95,1.15,1.1,1.19,1.18,1.35,1.18,1.39,1.07,0.92,1.07,1.16,0.97,0.88,0.85,0.83,1.05,0.52,0.46,0.38,0.09,0.4,0.17,0.21,0.33
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.28,1.17,1.38,0.99,0.34,0.34,0.85,0.89,0.76,0.67,0.66,1.14,0.84,1.24,1.29,1.04,1.19,1.04,0.87,1.02,0.88,0.75,0.85,0.68,0.68,0.69,0.77,0.99,0.73,0.68,0.47,0.38,0.23,0.17,0.13,-0.08,0.09,0.06,0.17,0.26
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.68,1.69,1.57,1.53,1.48,1.19,0.94,1.02,1,1.11,1.11,1.29,1.38,1.34,1.19,1.26,1.23,1.22,1.1,1.05,1.11,1.05,1.1,0.98,0.98,1.05,1.03,0.92,0.96,1.05,1.19,1.13,1.25,1.13,1.19,1.3,1.35,1.33,1.32,1.27
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",42.58,43.37,45.11,48.02,44.39,52,52.49,50.92,52.23,66.95,77.61,70.82,76.79,71.5,68.49,76.5,74.01,75,80.22,76.54,80.65,80.18,84.19,79.87,79.84,86.96,79.76,61.49,66.37,69.8,77.12,88.44,85.27,82.68,83.45,87.35,89.64,90.73,85.43,82.14
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-25.7027,-25.4122,-23.7308,-23.0727,-22.1044,-17.5615,-13.8403,-14.8607,-14.8149,-15.2359,-33.6622,-33.6109,-37.279,-35.2917,-31.0175,-33.5101,-32.1135,-33.4679,-32.719,-30.7489,-33.0621,-32.3074,-32.7156,-30.1085,-29.9402,-32.5345,-32.0667,-29.2768,-28.6118,-29.7786,-33.2098,-32.227,-34.5154,-32.3096,-32.3629,-34.5446,-37.9216,-38.184,-37.2996,-35.8586
"B Max Drawdown",-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-12.2581,-11.9676,-10.2862,-9.6281,-8.6598,-4.1169,-0.3956,-1.4161,-1.3703,-1.7913,2.0643,2.1156,-1.5525,0.434800000000003,4.709,2.2164,3.613,2.2586,3.0075,4.9776,2.6644,3.4191,3.0109,5.618,5.7863,3.192,3.6598,6.4497,7.1147,5.9479,2.5167,3.4995,1.2111,3.4169,3.3636,1.1819,-2.1951,-2.4575,-1.5731,-0.132100000000001
