"","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"P Information Ratio",-0.65,-0.52,0.39,-0.25,-0.06,0.34,1.06,1.1,0.64,0.48,0.43,0.67,0.83,0.75,0.61,0.89,0.87,0.41,-0.03,0.45,0.35,0.42,0.74,1.02,-0.3,0.25,-0.07,-0.65,0.26,0.79,0.61,-0.74,-0.04,-0.61,2.66,0.87,0.28,0.58,0.49,1.21,1.07,0.42,-0.36,0.04,-0.01,0.63,-0.06,-0.86,0.64,1.53,0.76,1.04
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.11,0.1,0.25,0.2,-0.06,0.05,0.27,0.22,0.2,0.23,0.34,0.4,0.37,0.37,0.4,0.56,0.05,0.13,0.44,0.89,0.73,0,0.15,0.18,-0.06,0.22,-0.02,0,0.31,0.48,0.33,-0.23,0.16,-0.45,0.1,0.35,0.42,0.48,0.24,0.05,-0.32,0,-0.11,0.11,0.35,0.15,0.17,-0.12,0.57,0.58,0.26,0.5
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.71,0.75,0.72,0.76,0.71,0.66,0.68,0.8,0.68,0.65,0.61,0.71,0.64,0.73,0.74,0.7,0.78,0.88,0.74,0.28,0.35,0.73,0.8,1.02,0.93,1.01,1.08,0.99,1.01,1.06,0.93,0.99,0.9,0.99,1.08,1,1,1.11,1.09,1.2,1.33,0.99,0.94,0.87,0.87,0.76,0.74,0.86,0.91,0.85,0.93,1
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",73.26,77.18,84.06,79.7,68.66,84.07,82.21,88.2,84.59,89.51,86.94,90.92,86.69,90.94,90.29,90.6,94.4,91.8,93.46,3.72,20.53,51.93,88.82,96.6,96.46,90.61,92.29,94.6,95.37,94.88,95.07,96.25,90.24,92.64,93.67,74.21,69.59,78.68,74.19,73.5,76.01,36.82,38.41,41.38,38.42,44.9,51.38,61.55,67.77,78.63,83.58,80.57
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-7.4642,-7.454,-7.1914,-7.3279,-6.9333,-8.789,-9.0079,-12.9977,-10.7272,-10.9774,-10.4311,-10.4256,-9.979,-10.2962,-10.2944,-8.0194,-7.7848,-7.9553,-7.4263,-3.792,-3.8523,-8.938,-28.7988,-31.046,-30.3579,-30.7622,-31.6338,-30.0191,-29.9399,-30.3546,-29.6894,-31.8302,-30.2612,-26.8132,-5.5196,-6.5073,-6.8128,-6.0599,-5.3045,-4.9465,-4.9313,-4.9334,-5.3935,-5.8745,-6.0953,-5.0908,-5.5539,-6.6456,-9.4986,-11.322,-13.9072,-14.1346
"B Max Drawdown",-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-11.5827,-10.6565,-7.2553,-7.0974,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7678,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",1.1786,1.1888,1.4514,1.3149,1.7095,2.0739,1.855,0.446899999999999,2.7174,2.4672,3.0135,3.019,3.4656,3.1484,2.6937,3.5633,2.8717,-0.7,-0.3289,0.6211,0.5608,-0.5343,6.9277,4.6805,5.3686,4.9643,4.0927,5.7074,5.7866,5.3719,6.0371,3.8963,5.4653,4.5394,2.2482,1.2605,0.955,1.7079,2.4633,2.1651,1.1598,-1.1096,-0.2153,-0.6963,-0.9171,0.0874000000000006,-0.375699999999999,-0.3498,0.769500000000001,3.4727,2.8767,2.6493
