"","1 Y 2016-05-30 to 2017-06-04","1 Y 2016-06-30 to 2017-07-05","1 Y 2016-08-02 to 2017-08-04","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"P Information Ratio",1.09,0.65,1.04,1.28,0.48,0.24,1.03,2.09,0.96,2.71,1.69,2.21,2.87,2.65,1.16,1.95,1.3,1.7,1.39,0.99,1.58,1.37,1.57,1.49,1.34,2.54,3.58,3.73,1.82,1.28,1.11,1.61,0.89,0.26,0.06,0.56,-0.24,-0.12,0.43,0.37,0.91,0.86,0.98,0.68,0.84,1.38,2.78,3.62,1.72,1.65,0.38,1.42,1.67,1.21,0.19,0.43,0.53,0.32,1.19,0.07,1.41,0.76,0.39,0.58
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.89,0.35,1.09,0.86,0.19,0.44,1.19,1.23,0.76,0.9,0.98,0.95,1.29,1.54,1.04,1.22,1.27,1.06,0.45,0.45,0.59,0.69,0.81,0.71,0.73,1.26,1.37,2.11,1.24,0.84,0.82,0.56,0.53,-0.02,-0.03,0.82,-0.11,0.41,0.94,1.21,1.16,1.36,0.99,0.76,1.01,0.69,0.67,0.8,0.38,0.63,-0.04,0.2,-0.17,0.39,0.12,0.17,0.67,-0.06,0.64,0.07,1.03,0.66,0.61,0.43
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.95,0.67,0.31,0.54,0.55,0.53,0.23,0.46,0.63,0.72,0.73,0.71,0.65,0.89,0.56,0.68,0.59,0.85,0.71,0.73,0.75,0.86,0.98,0.88,0.84,0.9,0.91,0.67,0.65,0.76,0.84,0.69,0.63,0.85,1.04,1.36,1.42,1.42,1.39,1.3,1.2,1.3,1.21,1.16,1.24,1.35,1.62,1.08,1.16,1.15,1.29,1.26,1.36,1.03,1,1.05,0.87,0.85,0.71,0.97,0.86,1.16,1.21,1.23
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",8.24,-1.37,-7.92,-1.82,3.47,12.06,-7.41,0.98,16.41,47.64,38.82,31.47,27.19,41.72,7.5,15.65,5.22,45.49,55.61,62.57,62.14,77.66,80.54,76.07,78.54,93.54,90.8,80.11,43.92,57.93,53.95,57.16,34.65,58.16,93.15,89.33,92.37,93.53,85.89,83.17,81.71,87.09,84.63,88.4,85.51,76.72,81.3,87.65,85.13,85.32,80.65,69.89,70.12,40.86,51.2,44.89,29.25,59.98,46.09,70.84,62.53,79.74,81.51,80.02
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-5.784,-8.3101,-5.5768,-7.0488,-10.0479,-6.0251,-5.3806,-5.6044,-8.5701,-9.8122,-10.3788,-10.4927,-11.3193,-11.7462,-10.6095,-11.3253,-10.3496,-10.4085,-10.7087,-13.7579,-12.9407,-12.8063,-13.5868,-12.1365,-12.0161,-11.8918,-9.4922,-6.4386,-6.101,-7.1823,-7.7423,-4.2497,-4.7721,-9.9208,-32.3629,-34.5446,-37.9216,-38.184,-37.2996,-35.8586,-33.0962,-34.515,-33.882,-32.6702,-34.9831,-30.7065,-7.2562,-6.2062,-6.2201,-5.9751,-6.3566,-7.2774,-6.7745,-6.8182,-5.8445,-7.1318,-7.4755,-6.6728,-6.4609,-6.7722,-10.2506,-16.2053,-19.2768,-19.7914
"B Max Drawdown",-5.0055,-5.2471,-5.3589,-6.2126,-6.3052,-6.3052,-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-11.5827,-10.6565,-7.2553,-7.0974,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7678,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-0.7785,-3.063,-0.2179,-0.8362,-3.7427,0.2801,0.9246,0.7008,-2.2649,-1.1694,-1.736,-1.8499,-2.6765,-3.1034,-1.9667,-2.6825,-1.7068,0.4544,0.154199999999999,-0.3133,0.5039,0.638299999999999,-0.142200000000001,1.3081,1.4285,1.5528,3.4959,5.1441,4.5555,0.0730000000000004,-0.6449,0.1634,-0.359,-1.5171,3.3636,1.1819,-2.1951,-2.4575,-1.5731,-0.132100000000001,2.6303,1.2115,1.8445,3.0563,0.743400000000001,0.646100000000001,0.5116,1.5616,1.5477,1.7927,1.4112,-0.1658,-0.6834,-2.9944,-0.6663,-1.9536,-2.2973,-1.4946,-1.2827,-0.4764,0.0175000000000001,-1.4106,-2.4929,-3.0075
