"","1 Y 2016-11-29 to 2017-12-04","1 Y 2016-12-29 to 2018-01-03","1 Y 2017-01-30 to 2018-02-03","1 Y 2017-03-01 to 2018-03-06","1 Y 2017-03-29 to 2018-04-03","1 Y 2017-05-01 to 2018-05-04","1 Y 2017-05-29 to 2018-06-03","1 Y 2017-06-29 to 2018-07-04","1 Y 2017-07-31 to 2018-08-03","1 Y 2017-08-29 to 2018-09-03","1 Y 2017-09-29 to 2018-10-04","1 Y 2017-10-30 to 2018-11-03","1 Y 2017-11-29 to 2018-12-04","1 Y 2017-12-29 to 2019-01-03","1 Y 2018-01-29 to 2019-02-03","1 Y 2018-03-01 to 2019-03-06","1 Y 2018-03-29 to 2019-04-03","1 Y 2018-04-30 to 2019-05-04","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.85,1.24,0.44,0.73,1.12,1.01,1.09,1.63,1.03,1.14,1.61,1.07,0.64,0.29,0.26,0.47,0.58,0.65,0.75,1.26,1.25,1.52,1.31,1.01,1.12,0.68,0.99,0.56,0.46,0.44,0.88,0.49,0.79,1.09,0.65,0.67,0.68,0.89,0.72,0.51,0.61,0.33,0.79,0.3,0.16,0.02,0.01,0.53,0.08,0.02,0.5,0.19,0.08,0.02,0.56,0.13,0.45,-0.02
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.37,0.47,1,0.74,0.77,0.71,0.71,0.79,0.56,0.61,0.6,0.83,0.75,0.63,0.63,0.86,0.92,0.9,0.92,0.94,0.88,0.7,0.66,0.77,0.73,0.53,0.54,0.73,0.99,0.99,1.29,1.35,1.33,1.34,1.17,1.38,1.29,1.21,1.34,1.44,1.57,1.13,1.18,1.22,1.28,1.27,1.33,0.82,1.04,0.99,0.86,0.81,0.87,1.02,0.94,1.02,1.17,1.07
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",2.26,1.23,31.2,32.86,32.42,28.77,24.62,34.49,10.14,15.04,7.31,40.63,43.83,52.42,50.22,72,76.55,76.76,84.04,94.56,94.99,86.39,46.54,58.08,39.87,26.22,20.62,32.41,86.86,87.8,86.03,94.38,91.55,86.67,92.27,92.52,92.6,86.29,88.21,72.68,80.78,88.91,84.95,86.02,82.48,76.81,74.14,27.21,51.52,52.74,41.37,56.23,59.04,75.1,73.19,83.07,84.94,83.42
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-5.4008,-5.0062,-9.6404,-9.9089,-10.641,-11.1414,-11.68,-11.2633,-10.812,-11.3367,-10.7385,-10.7208,-11.8101,-14.2424,-14.0929,-15.2647,-15.3257,-13.6347,-12.3809,-13.0512,-9.5557,-7.5378,-6.1005,-6.5021,-6.6898,-4.314,-4.9967,-9.1025,-31.5163,-30.8352,-34.2604,-36.3985,-35.6983,-36.7109,-33.976,-37.5921,-36.2739,-34.3498,-37.7385,-31.7623,-7.5634,-6.0678,-6.0544,-6.9397,-6.84,-5.4851,-6.384,-6.8445,-6.5564,-6.9674,-6.9879,-6.7717,-6.6439,-6.8395,-10.5254,-15.2329,-18.3104,-17.412
"B Max Drawdown",-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-12.5618,-10.6565,-7.2553,-7.2553,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",0.9044,1.299,-3.3352,-1.2661,-1.9982,-2.4986,-3.0372,-2.6205,-2.1692,-2.6939,-2.0957,0.142099999999999,-0.9472,-0.797800000000001,-0.648300000000001,-1.8201,-1.8811,-0.190100000000001,1.0637,0.3934,3.4324,5.024,4.556,0.7532,0.5655,0.0991,-0.5836,-0.698799999999999,4.2102,4.8913,1.4661,-0.671999999999997,0.0281999999999982,-0.984400000000001,1.7505,-1.8656,-0.547399999999996,1.3767,-2.012,-0.409700000000001,0.204400000000001,1.7,1.7134,0.827999999999999,0.9278,1.6265,-0.2929,-3.0207,-1.3782,-1.7892,-1.8097,-1.5935,-1.4657,-0.5437,-0.257299999999999,-0.4382,-1.5265,-0.6281
