"","1 Y 2015-08-28 to 2016-09-02","1 Y 2015-09-28 to 2016-10-03","1 Y 2015-10-28 to 2016-11-02","1 Y 2015-11-30 to 2016-12-03","1 Y 2015-12-29 to 2017-01-02","1 Y 2016-01-28 to 2017-02-02","1 Y 2016-02-29 to 2017-03-05","1 Y 2016-03-28 to 2017-04-02","1 Y 2016-04-28 to 2017-05-03","1 Y 2016-05-30 to 2017-06-02","1 Y 2016-06-28 to 2017-07-03","1 Y 2016-07-28 to 2017-08-02","1 Y 2016-08-29 to 2017-09-02","1 Y 2016-09-28 to 2017-10-03","1 Y 2016-10-28 to 2017-11-02","1 Y 2016-11-28 to 2017-12-03","1 Y 2016-12-28 to 2018-01-02","1 Y 2017-01-30 to 2018-02-02","1 Y 2017-02-28 to 2018-03-05","1 Y 2017-03-28 to 2018-04-02","1 Y 2017-04-28 to 2018-05-03","1 Y 2017-05-29 to 2018-06-02","1 Y 2017-06-28 to 2018-07-03","1 Y 2017-07-28 to 2018-08-02","1 Y 2017-08-28 to 2018-09-02","1 Y 2017-09-28 to 2018-10-03","1 Y 2017-10-30 to 2018-11-02","1 Y 2017-11-28 to 2018-12-03","1 Y 2017-12-28 to 2019-01-02","1 Y 2018-01-29 to 2019-02-02","1 Y 2018-02-28 to 2019-03-05","1 Y 2018-03-28 to 2019-04-02","1 Y 2018-04-30 to 2019-05-03","1 Y 2018-05-28 to 2019-06-02","1 Y 2018-06-28 to 2019-07-03","1 Y 2018-07-30 to 2019-08-02","1 Y 2018-08-28 to 2019-09-02","1 Y 2018-09-28 to 2019-10-03","1 Y 2018-10-29 to 2019-11-02","1 Y 2018-11-28 to 2019-12-03","1 Y 2018-12-28 to 2020-01-02","1 Y 2019-01-28 to 2020-02-02","1 Y 2019-02-28 to 2020-03-04","1 Y 2019-03-28 to 2020-04-02","1 Y 2019-04-29 to 2020-05-03","1 Y 2019-05-28 to 2020-06-02","1 Y 2019-06-28 to 2020-07-03","1 Y 2019-07-29 to 2020-08-02","1 Y 2019-08-28 to 2020-09-02","1 Y 2019-09-30 to 2020-10-03","1 Y 2019-10-28 to 2020-11-02","1 Y 2019-11-28 to 2020-12-03","1 Y 2019-12-30 to 2021-01-02","1 Y 2020-01-28 to 2021-02-02","1 Y 2020-02-28 to 2021-03-05","1 Y 2020-03-30 to 2021-04-02","1 Y 2020-04-28 to 2021-05-03","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"P Information Ratio",1.32,0.47,1.47,4.48,1.35,0.18,1.37,1.54,1.62,2.14,-0.55,0.5,1.57,1.58,1.75,0.24,1.42,2.18,1.1,2.63,0.94,-0.67,1.06,0.93,2.52,2.3,1.4,1.12,0.54,1.24,0.62,1.77,1.48,-0.11,0.9,1.48,2.38,1.13,0.42,1.1,0.35,1.15,1.21,-0.32,1.53,1.08,1.67,1.72,1.46,1.1,0.49,-0.14,0.78,0.64,0.15,-0.75,-0.91,-0.92,1.33,1.45,1.09,-0.27,0.16,-0.51,0.77,1.15,0.65,0.66,1.78,-0.68,1.27,-0.54,-0.57
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.01,1.08,2.18,3.61,1.86,1.02,4.07,3.85,4.36,1.87,-0.34,1.5,2.31,1.57,1.31,0.19,0.53,2.03,0.66,1.89,0.2,-0.43,0.58,0.84,1.97,3.13,2.15,2.24,0.66,0.58,0.73,1.62,0.45,0.34,1.4,0.97,0.93,0.54,0.65,1.99,2.59,2.45,0.65,0.15,0.64,1.53,3.17,3.54,3.87,1.83,0.49,-0.28,1.55,0.64,-0.04,-0.63,-0.12,-0.4,0.93,0.89,0.7,0.69,-0.87,-1.03,0.72,1.96,1.53,1.5,1.57,0.03,1.83,-0.87,-0.61
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.62,0.44,1.24,0.81,1.42,0.45,0.4,1.08,-0.08,0.73,0.95,0.66,0.12,-0.03,0.74,0.86,1.36,0.71,-0.02,0.74,0.26,0.4,0.79,0.55,0.46,0.35,1.19,1.31,0.78,0.99,1.48,1.3,1.08,0.81,1.45,1.54,1.02,1.29,0.77,0.24,-0.79,-0.59,0.74,1.32,1.19,1.22,1.08,1.21,1.04,0.77,1.14,1.6,1.39,1.38,1.18,0.87,0.43,0.65,1.53,1.29,0.91,0.75,1.45,1.32,1.17,0.48,0.56,0.26,0.52,0.93,0.94,0.95,0.84
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",18.3,5.21,9.39,16.91,14.65,-6.73,-10.63,-8.58,-11.08,-3.03,-3.73,-9.05,-11.02,-11.1,1.58,6.77,13.06,0.6,-11.05,9.42,-1.71,11.27,37.76,10.79,-5.63,-9.21,28.72,32.83,21.12,44.77,69.8,76.08,86.15,42.07,85.08,89.03,92.54,64.78,64.82,-6.39,4.3,1.46,15.91,86.32,93.82,77.63,45.11,43.12,48.02,52.85,89.22,85.82,75.98,89.96,35.81,30.4,1.8,13.5,53.38,62.09,44.63,32.98,52.05,58.74,13.07,-6.47,-2.99,-8.41,2.05,54.04,55.92,56.97,33.72
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-12.9318,-11.0792,-15.3491,-13.4017,-11.504,-11.798,-11.508,-11.6687,-12.8078,-6.8948,-14.0115,-15.8166,-10.1953,-11.1,-6.9872,-11.4892,-17.3662,-11.1694,-5.9897,-12.2159,-7.5899,-8.9205,-7.7303,-8.3888,-14.275,-14.3931,-15.1365,-14.7855,-19.3675,-21.0992,-20.9835,-16.0802,-20.2394,-16.0795,-21.0985,-19.586,-12.4149,-13.5155,-7.3245,-10.2421,-10.8252,-10.7113,-11.3422,-40.9651,-36.3333,-30.7374,-25.7888,-26.9686,-22.4654,-23.2633,-31.4202,-44.7635,-36.1069,-35.5953,-24.3085,-12.1681,-13.8146,-14.2492,-13.7998,-9.3046,-8.2252,-8.2663,-7.6698,-8.322,-14.8954,-16.3066,-14.8852,-11.134,-11.7757,-13.2909,-20.75,-19.572,-23.0037
"B Max Drawdown",-15.2268,-15.2268,-13.6512,-12.3466,-10.1448,-5.5519,-5.0055,-5.0055,-5.0055,-5.0055,-4.9554,-5.3589,-6.2126,-6.3052,-6.3052,-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-12.5618,-10.6565,-7.2553,-7.2553,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",2.295,4.1476,-1.6979,-1.0551,-1.3592,-6.2461,-6.5025,-6.6632,-7.8023,-1.8893,-9.0561,-10.4577,-3.9827,-4.7948,-0.681999999999999,-5.184,-11.061,-4.8642,2.6531,-3.5731,1.0529,-0.277700000000001,0.9125,0.254,-5.6322,-5.7503,-4.2736,-3.9226,-5.9229,-7.6546,-7.5389,-2.6356,-6.7948,-2.6349,-7.6539,-6.5979,0.1469,-2.859,-0.0691999999999995,-2.9868,-6.4121,-6.2982,-2.9385,-5.2386,-0.6068,4.9891,9.9377,8.7579,13.2611,12.4632,4.3063,-9.037,-0.380400000000002,0.1312,7.0441,-4.4003,-6.0468,-6.4814,-6.0321,-1.5368,-1.1136,-2.1752,-3.846,-3.1438,-9.7172,-11.1284,-9.707,-5.9558,-5.4799,-3.0228,-5.9553,-2.7881,-6.2198
