"","1 Y 2016-05-30 to 2017-06-04","1 Y 2016-06-30 to 2017-07-05","1 Y 2016-08-02 to 2017-08-04","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"P Information Ratio",0.96,0.42,1.04,1.28,0.25,-0.04,0.92,2.06,0.81,2.73,1.67,2.33,3.22,2.8,1.21,2.15,1.33,1.77,1.38,0.9,1.61,1.35,1.53,1.51,1.31,2.42,3.79,4.06,1.83,1.34,1.2,1.83,0.81,0.08,-0.11,0.39,-0.38,-0.22,0.44,0.49,1.03,0.91,1.05,0.74,0.91,1.39,2.75,3.57,1.55,1.56,0.28,1.34,1.62,1.24,0.26,0.5,0.54,0.05,1.55,0.25,1.69,0.8,0.3,0.49
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.81,0.17,1.26,0.97,-0.05,0.3,1.39,1.41,0.9,1.09,1.17,1.18,1.64,1.86,1.27,1.52,1.56,1.34,0.53,0.53,0.73,0.8,0.94,0.83,0.85,1.48,1.59,2.55,1.49,0.97,0.91,0.53,0.45,-0.1,-0.11,0.86,-0.35,0.42,1.23,1.62,1.52,1.73,1.31,0.98,1.32,0.87,0.8,0.95,0.29,0.63,-0.13,0.25,-0.19,0.4,0.15,0.24,0.74,-0.18,0.9,0.08,1.39,0.91,0.73,0.48
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.1,0.78,0.25,0.59,0.57,0.51,0.07,0.39,0.54,0.68,0.71,0.7,0.61,0.94,0.52,0.67,0.57,0.91,0.72,0.74,0.78,0.89,1.06,0.93,0.88,0.96,0.97,0.64,0.61,0.76,0.88,0.74,0.7,0.88,1.06,1.47,1.56,1.56,1.51,1.36,1.22,1.35,1.25,1.18,1.29,1.44,1.75,1.08,1.19,1.15,1.35,1.3,1.4,1.09,1.03,1.1,0.87,0.89,0.67,1,0.82,1.22,1.28,1.32
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",6.28,-2.47,-9.57,-3.79,-1.6,3.9,-10.85,-5.26,4.2,35.03,28.06,22.36,16.85,34.62,0.35,8.8,-0.52,39.12,47.71,53.17,53.05,71.21,75.79,69.22,72.85,90.45,88.39,70.77,31.21,48.38,47.25,59.65,29.99,53.5,91.91,88.69,92.01,92.9,82.36,77.25,74.66,82.55,78.68,83.84,79.81,70.52,77.91,83.09,83.11,81.61,79.19,61.95,64.25,35.75,46.98,37.91,19.7,56.69,35.93,68.54,49.54,73.77,76.6,74.87
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-8.1924,-11.3276,-6.465,-8.9428,-13.6887,-8.237,-6.1846,-6.4906,-9.8044,-10.5904,-11.2127,-11.2301,-12.2207,-12.985,-11.4889,-12.3127,-11.1468,-11.312,-11.2644,-14.706,-13.5492,-13.4222,-14.5495,-12.5857,-12.5142,-12.0763,-9.7672,-6.4116,-5.9347,-7.5501,-8.0762,-4.2164,-5.4129,-10.3098,-32.6289,-35.9699,-40.7131,-40.9207,-39.4263,-36.7894,-32.9305,-34.9391,-34.0698,-32.4603,-35.6508,-31.6753,-8.2483,-7.2394,-7.1046,-6.7092,-7.0783,-9.5335,-8.5455,-8.787,-7.6679,-9.1815,-10.3354,-7.1548,-6.7412,-7.3171,-10.3627,-17.514,-21.0823,-21.7671
"B Max Drawdown",-5.0055,-5.2471,-5.3589,-6.2126,-6.3052,-6.3052,-6.3052,-6.3052,-6.3052,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-11.5827,-10.6565,-7.2553,-7.0974,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7678,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-3.1869,-6.0805,-1.1061,-2.7302,-7.3835,-1.9318,0.1206,-0.1854,-3.4992,-1.9476,-2.5699,-2.5873,-3.5779,-4.3422,-2.8461,-3.6699,-2.504,-0.4491,-0.4015,-1.2614,-0.104600000000001,0.0223999999999993,-1.1049,0.8589,0.930399999999999,1.3683,3.2209,5.1711,4.7218,-0.2948,-0.9788,0.1967,-0.9998,-1.9061,3.0976,-0.243400000000001,-4.9866,-5.1942,-3.6998,-1.0629,2.796,0.787399999999998,1.6567,3.2662,0.0757000000000048,-0.322700000000001,-0.4805,0.5284,0.663200000000001,1.0586,0.689500000000001,-2.4219,-2.4544,-4.9632,-2.4897,-4.0033,-5.1572,-1.9766,-1.563,-1.0213,-0.0945999999999998,-2.7193,-4.2984,-4.9832
